Product name,price,discount,date,source
Apple AirPods Pro (2nd Generation),26900.0,0.0,2022-08-29,Amazon
Apple MacBook Air Laptop,119900.0,0.08,2022-06-28,Flipkart
Apple Watch Series 9,41900.0,0.0,2023-09-16,Flipkart
"Apple iPhone 14 Plus (Blue, 128 GB)",89900.0,0.0,2022-08-29,Flipkart
"Apple iPhone 16 (Black, 128 GB)",79900.0,0.0,2024-09-10,Flipkart
Apple iPhone 16 Pro Max(256 GB),144900.0,0.0,2024-09-10,Flipkart
Crompton Optimus 100 Litres Desert Air Cooler for home,13399.0,34.95,2019-06-05,Amazon
GoPro Hero13 Special Bundle Sports and Action Camera,49990.0,0.0,2024-09-06,Flipkart
"Godrej 272 L 3 Star Convertible Technology, 30 days Farms Freshness Inverter Frost Free Double Door Refrigerator",29490.0,1.67,2023-06-05,Amazon
L'Oreal Paris Hyaluron Moisture 72HR Moisture Filling Shampoo,720.0,37.34,2022-08-29,Amazon
LG 322 L 3 Star Frost-Free Smart Inverter Double Door Refrigerator,35990.0,10.0,2023-07-03,Amazon
Lakmé 9 to 5 Kajal Twin Pack,205.0,41.43,2020-01-31,Flipkart
NIKE Mens Jordan Stay Loyal 3 Running Shoes,10295.0,0.0,2024-04-16,Flipkart
Noise Pro 6 Max Smart Watch,9999.0,0.0,2025-01-26,Amazon
"Nothing Phone (3A) 5G (Black, 8GB RAM, 256GB Storage)",25999.0,0.0,2025-03-12,Amazon
OnePlus 13,76998.0,-4%,2025-03-22,Amazon
OnePlus 13 ,76999.0,0.0,2025-01-10,Amazon
Premium Aquatic Eau De Cologne,105.0,21.64,2019-10-29,Flipkart
Puma Women's Pacific Maze Sneaker,2159.0,8.86,2023-01-09,Flipkart
Redmi Note 12 Pro,24999.0,10.71,2023-01-06,Flipkart
Redmi Note 13 Pro,25999.0,0.0,2023-12-25,Flipkart
"SAMSUNG Galaxy A34 5G (Awesome Silver, 128 GB)",30990.0,12.7,2023-03-21,Flipkart
Samsung 80 cm (32 inches) HD Ready Smart LED TV UA32T4380AKXXL (Glossy Black),13490.0,28.62,2023-12-01,Amazon
"Samsung Galaxy Z Flip 6 5G (256GB, Mint)",109999.0,0.0,2024-07-10,Flipkart
Samsung Galaxy Z Fold 6 5G (256 GB),164999.0,0.0,2024-07-11,Flipkart
Samsung Galaxy Z Fold 6 Smartphone,164999.0,0.0,2024-07-11,Amazon
"Samsung S24 Ultra 5G (Titanium Gray, 256GB)",129999.0,3.7,2024-01-19,Flipkart
Sony WH-1000XM5 Wireless Noise Canceling Headphones,33990.0,2.86,2023-03-01,Amazon
